Generated at 17:42 (eastern) on Wednesday 03 June 2026
Params: cond_upper_bound=None, cond_lower_bound=None
BSD(E,2) check: run (output verified)
Run took: 7 minutes 53 seconds

cremona_label,source,lmfdb_label
6306b1, CLZ20, 6306.b1
6319a1, CLZ20, 6319.a2
6447c1, CLZ20, 6447.d2
6493a1, CLZ20, 6493.a2
6501d1, CLZ20, 6501.d1
6514a1, CLZ20, 6514.a2
6546e1, CLZ20, 6546.c1
6567a1, CLZ20, 6567.b2
6686c1, CLZ20, 6686.d2
6738c1, CLZ20, 6738.b1
6754c1, CLZ20, 6754.c1
6914d1, CLZ20, 6914.d2
6981b1, CLZ20, 6981.b2
7054a1, CLZ20, 7054.a2
7122a1, CLZ20, 7122.a1
7138c1, CLZ20, 7138.b1
7153a1, CLZ20, 7153.a2
7195a1, CLZ20, 7195.a2
7234c1, CLZ20, 7234.d2
7246c1, CLZ20, 7246.b2
7361a1, CLZ20, 7361.a2
7426a1, CLZ20, 7426.e2
7437a1, CLZ20, 7437.a2
7491c1, CLZ20, 7491.a2
7554a1, CLZ20, 7554.a1
7554d1, CLZ20, 7554.c1
7557a1, CLZ20, 7557.a2
7689a1, CLZ20, 7689.c1
7689d1, CLZ20, 7689.d1
7698a1, CLZ20, 7698.a1
7707a1, CLZ20, 7707.b1
7719b1, CLZ20, 7719.a2
7843b1, CLZ20, 7843.b1
7871a1, CLZ20, 7871.a2
7891a1, CLZ20, 7891.a2
7923b1, CLZ20, 7923.b2
7934c1, CLZ20, 7934.d2
8131a1, CLZ20, 8131.a2
8239a1, CLZ20, 8239.d1
8258a1, CLZ20, 8258.a2
8283e1, CLZ20, 8283.e1
8309a1, CLZ20, 8309.a2
8319b1, CLZ20, 8319.d1
8445b1, CLZ20, 8445.a1
8445a1, CLZ20, 8445.b1
8482b1, CLZ20, 8482.b2
8498a1, CLZ20, 8498.a2
8499b1, CLZ20, 8499.a2
8562a1, CLZ20, 8562.a1
8621c1, CLZ20, 8621.e2
8679b1, CLZ20, 8679.b1
8706b1, CLZ20, 8706.b1
8754b1, CLZ20, 8754.b1
8795a1, CLZ20, 8795.a2
8809a1, CLZ20, 8809.a2
8834c1, CLZ20, 8834.e2
8891a1, CLZ20, 8891.a2
8894a1, CLZ20, 8894.a2
8898a1, CLZ20, 8898.a1
9005a1, CLZ20, 9005.a2
9143a1, CLZ20, 9143.a2
9154b1, CLZ20, 9154.b2
9186b1, CLZ20, 9186.d1
9205j1, CLZ20, 9205.c1
9219a1, CLZ20, 9219.b1
9253c1, CLZ20, 9253.d2
9289a1, CLZ20, 9289.a2
9291b1, CLZ20, 9291.e1
9353a1, CLZ20, 9353.a2
9426b1, CLZ20, 9426.c1
9445b1, CLZ20, 9445.a2
9474f1, CLZ20, 9474.g1
9714b1, CLZ20, 9714.a1
9763b1, CLZ20, 9763.a2
9789b1, CLZ20, 9789.e2
9886a1, CLZ20, 9886.a2
9939a1, CLZ20, 9939.a2
10002c1, CLZ20, 10002.a1
10178e1, CLZ20, 10178.f2
10199a1, CLZ20, 10199.b2
10226a1, CLZ20, 10226.a2
10227c1, CLZ20, 10227.c1
10237b1, CLZ20, 10237.b2
10245c1, CLZ20, 10245.b1
10334e1, CLZ20, 10334.e2
10338b1, CLZ20, 10338.d1
10354c1, CLZ20, 10354.b2
10402e1, CLZ20, 10402.d2
10699a1, CLZ20, 10699.a2
10866b1, CLZ20, 10866.c1
10923a1, CLZ20, 10923.a1
10994b1, CLZ20, 10994.d2
10999a1, CLZ20, 10999.a2
11005c1, CLZ20, 11005.c2
11006b1, CLZ20, 11006.b2
11013b1, CLZ20, 11013.a2
11019a1, CLZ20, 11019.a2
11037a1, CLZ20, 11037.a2
11039a1, CLZ20, 11039.a2
11042a1, CLZ20, 11042.a2
11182b1, CLZ20, 11182.d2
11267d1, CLZ20, 11267.b2
11307a1, CLZ20, 11307.a2
11343b1, CLZ20, 11343.b2
11387a1, CLZ20, 11387.a2
11397a1, CLZ20, 11397.a1
11405a1, CLZ20, 11405.a2
11451b1, CLZ20, 11451.b1
11506b1, CLZ20, 11506.a1
11577b1, CLZ20, 11577.b1
11582a1, CLZ20, 11582.c2
11586f1, CLZ20, 11586.f1
11703c1, CLZ20, 11703.b1
11746d1, CLZ20, 11746.d2
11811b1, CLZ20, 11811.a1
11869d1, CLZ20, 11869.c1
12034c1, CLZ20, 12034.d1
12082a1, CLZ20, 12082.a2
12098b1, CLZ20, 12098.b2
12111a1, CLZ20, 12111.a2
12226c1, CLZ20, 12226.d2
12351d1, CLZ20, 12351.h1
12359a1, CLZ20, 12359.a2
12398b1, CLZ20, 12398.b2
12405a1, CLZ20, 12405.a1
12445a1, CLZ20, 12445.d2
12607a1, CLZ20, 12607.a2
12686c1, CLZ20, 12686.c2
12719c1, CLZ20, 12719.a1
12719a1, CLZ20, 12719.b2
12866b1, CLZ20, 12866.b2
12869a1, CLZ20, 12869.a2
12891c1, CLZ20, 12891.e2
