curve_label,twist,reason,algorithm1_failure_class
874a1,761,UPSTREAM_BASE_REMOVAL,A3_ONLY
874a1,785,UPSTREAM_BASE_REMOVAL,A3_ONLY
874a1,913,UPSTREAM_BASE_REMOVAL,A3_ONLY
874a1,929,UPSTREAM_BASE_REMOVAL,A3_ONLY
874b1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
874b1,73,UPSTREAM_BASE_REMOVAL,A3_ONLY
874b1,353,UPSTREAM_BASE_REMOVAL,A3_ONLY
874b1,473,UPSTREAM_BASE_REMOVAL,A3_ONLY
874b1,593,UPSTREAM_BASE_REMOVAL,A3_ONLY
874b1,761,UPSTREAM_BASE_REMOVAL,A3_ONLY
874b1,785,UPSTREAM_BASE_REMOVAL,A3_ONLY
874b1,913,UPSTREAM_BASE_REMOVAL,A3_ONLY
874b1,929,UPSTREAM_BASE_REMOVAL,A3_ONLY
895b1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
895b1,29,UPSTREAM_BASE_REMOVAL,A3_ONLY
895b1,61,UPSTREAM_BASE_REMOVAL,A3_ONLY
895b1,89,UPSTREAM_BASE_REMOVAL,A3_ONLY
895b1,101,UPSTREAM_BASE_REMOVAL,A3_ONLY
895b1,149,UPSTREAM_BASE_REMOVAL,A3_ONLY
895b1,509,UPSTREAM_BASE_REMOVAL,A3_ONLY
895b1,601,UPSTREAM_BASE_REMOVAL,A3_ONLY
895b1,661,UPSTREAM_BASE_REMOVAL,A3_ONLY
895b1,709,UPSTREAM_BASE_REMOVAL,A3_ONLY
895b1,761,UPSTREAM_BASE_REMOVAL,A3_ONLY
895b1,781,UPSTREAM_BASE_REMOVAL,A3_ONLY
895b1,869,UPSTREAM_BASE_REMOVAL,A3_ONLY
895b1,941,UPSTREAM_BASE_REMOVAL,A3_ONLY
923a1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
923a1,29,UPSTREAM_BASE_REMOVAL,A3_ONLY
923a1,101,UPSTREAM_BASE_REMOVAL,A3_ONLY
923a1,157,UPSTREAM_BASE_REMOVAL,A3_ONLY
923a1,233,UPSTREAM_BASE_REMOVAL,A3_ONLY
923a1,313,UPSTREAM_BASE_REMOVAL,A3_ONLY
923a1,373,UPSTREAM_BASE_REMOVAL,A3_ONLY
923a1,569,UPSTREAM_BASE_REMOVAL,A3_ONLY
923a1,677,UPSTREAM_BASE_REMOVAL,A3_ONLY
923a1,797,UPSTREAM_BASE_REMOVAL,A3_ONLY
923a1,881,UPSTREAM_BASE_REMOVAL,A3_ONLY
923a1,953,UPSTREAM_BASE_REMOVAL,A3_ONLY
934c1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
934c1,41,UPSTREAM_BASE_REMOVAL,A3_ONLY
934c1,89,UPSTREAM_BASE_REMOVAL,A3_ONLY
934c1,97,UPSTREAM_BASE_REMOVAL,A3_ONLY
934c1,113,UPSTREAM_BASE_REMOVAL,A3_ONLY
934c1,137,UPSTREAM_BASE_REMOVAL,A3_ONLY
934c1,185,UPSTREAM_BASE_REMOVAL,A3_ONLY
934c1,241,UPSTREAM_BASE_REMOVAL,A3_ONLY
934c1,305,UPSTREAM_BASE_REMOVAL,A3_ONLY
934c1,433,UPSTREAM_BASE_REMOVAL,A3_ONLY
934c1,505,UPSTREAM_BASE_REMOVAL,A3_ONLY
934c1,673,UPSTREAM_BASE_REMOVAL,A3_ONLY
934c1,809,UPSTREAM_BASE_REMOVAL,A3_ONLY
934c1,857,UPSTREAM_BASE_REMOVAL,A3_ONLY
934c1,929,UPSTREAM_BASE_REMOVAL,A3_ONLY
934c1,937,UPSTREAM_BASE_REMOVAL,A3_ONLY
934c1,985,UPSTREAM_BASE_REMOVAL,A3_ONLY
974d1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
974d1,41,UPSTREAM_BASE_REMOVAL,A3_ONLY
974d1,73,UPSTREAM_BASE_REMOVAL,A3_ONLY
974d1,89,UPSTREAM_BASE_REMOVAL,A3_ONLY
974d1,97,UPSTREAM_BASE_REMOVAL,A3_ONLY
974d1,137,UPSTREAM_BASE_REMOVAL,A3_ONLY
974d1,193,UPSTREAM_BASE_REMOVAL,A3_ONLY
974d1,241,UPSTREAM_BASE_REMOVAL,A3_ONLY
974d1,313,UPSTREAM_BASE_REMOVAL,A3_ONLY
974d1,401,UPSTREAM_BASE_REMOVAL,A3_ONLY
974d1,433,UPSTREAM_BASE_REMOVAL,A3_ONLY
974d1,473,UPSTREAM_BASE_REMOVAL,A3_ONLY
974d1,569,UPSTREAM_BASE_REMOVAL,A3_ONLY
974d1,593,UPSTREAM_BASE_REMOVAL,A3_ONLY
974d1,617,UPSTREAM_BASE_REMOVAL,A3_ONLY
974d1,649,UPSTREAM_BASE_REMOVAL,A3_ONLY
974d1,769,UPSTREAM_BASE_REMOVAL,A3_ONLY
974d1,857,UPSTREAM_BASE_REMOVAL,A3_ONLY
974d1,881,UPSTREAM_BASE_REMOVAL,A3_ONLY
974d1,929,UPSTREAM_BASE_REMOVAL,A3_ONLY
989a1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
989a1,13,UPSTREAM_BASE_REMOVAL,A3_ONLY
989a1,101,UPSTREAM_BASE_REMOVAL,A3_ONLY
989a1,173,UPSTREAM_BASE_REMOVAL,A3_ONLY
989a1,193,UPSTREAM_BASE_REMOVAL,A3_ONLY
989a1,197,UPSTREAM_BASE_REMOVAL,A3_ONLY
989a1,269,UPSTREAM_BASE_REMOVAL,A3_ONLY
989a1,353,UPSTREAM_BASE_REMOVAL,A3_ONLY
989a1,509,UPSTREAM_BASE_REMOVAL,A3_ONLY
989a1,737,UPSTREAM_BASE_REMOVAL,A3_ONLY
989a1,809,UPSTREAM_BASE_REMOVAL,A3_ONLY
989a1,821,UPSTREAM_BASE_REMOVAL,A3_ONLY
989a1,853,UPSTREAM_BASE_REMOVAL,A3_ONLY
989a1,857,UPSTREAM_BASE_REMOVAL,A3_ONLY
989a1,869,UPSTREAM_BASE_REMOVAL,A3_ONLY
989a1,877,UPSTREAM_BASE_REMOVAL,A3_ONLY
989a1,913,UPSTREAM_BASE_REMOVAL,A3_ONLY
1070b1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
1070b1,89,UPSTREAM_BASE_REMOVAL,A3_ONLY
1070b1,241,UPSTREAM_BASE_REMOVAL,A3_ONLY
1070b1,481,UPSTREAM_BASE_REMOVAL,A3_ONLY
1070b1,569,UPSTREAM_BASE_REMOVAL,A3_ONLY
1070b1,721,UPSTREAM_BASE_REMOVAL,A3_ONLY
1070b1,761,UPSTREAM_BASE_REMOVAL,A3_ONLY
1070b1,881,UPSTREAM_BASE_REMOVAL,A3_ONLY
1073b1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
1073b1,53,UPSTREAM_BASE_REMOVAL,A3_ONLY
1073b1,173,UPSTREAM_BASE_REMOVAL,A3_ONLY
1073b1,197,UPSTREAM_BASE_REMOVAL,A3_ONLY
1073b1,233,UPSTREAM_BASE_REMOVAL,A3_ONLY
1073b1,349,UPSTREAM_BASE_REMOVAL,A3_ONLY
1073b1,373,UPSTREAM_BASE_REMOVAL,A3_ONLY
1073b1,397,UPSTREAM_BASE_REMOVAL,A3_ONLY
1073b1,509,UPSTREAM_BASE_REMOVAL,A3_ONLY
1073b1,521,UPSTREAM_BASE_REMOVAL,A3_ONLY
1073b1,613,UPSTREAM_BASE_REMOVAL,A3_ONLY
1073b1,673,UPSTREAM_BASE_REMOVAL,A3_ONLY
1073b1,761,UPSTREAM_BASE_REMOVAL,A3_ONLY
1073b1,821,UPSTREAM_BASE_REMOVAL,A3_ONLY
1073b1,929,UPSTREAM_BASE_REMOVAL,A3_ONLY
1073b1,937,UPSTREAM_BASE_REMOVAL,A3_ONLY
1073b1,941,UPSTREAM_BASE_REMOVAL,A3_ONLY
1073b1,953,UPSTREAM_BASE_REMOVAL,A3_ONLY
1090e1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
1090e1,89,UPSTREAM_BASE_REMOVAL,A3_ONLY
1090e1,281,UPSTREAM_BASE_REMOVAL,A3_ONLY
1090e1,409,UPSTREAM_BASE_REMOVAL,A3_ONLY
1090e1,649,UPSTREAM_BASE_REMOVAL,A3_ONLY
1090e1,809,UPSTREAM_BASE_REMOVAL,A3_ONLY
1090e1,881,UPSTREAM_BASE_REMOVAL,A3_ONLY
1106c1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
1106c1,337,UPSTREAM_BASE_REMOVAL,A3_ONLY
1106c1,457,UPSTREAM_BASE_REMOVAL,A3_ONLY
1106c1,617,UPSTREAM_BASE_REMOVAL,A3_ONLY
1106c1,641,UPSTREAM_BASE_REMOVAL,A3_ONLY
1106c1,737,UPSTREAM_BASE_REMOVAL,A3_ONLY
1106c1,809,UPSTREAM_BASE_REMOVAL,A3_ONLY
1106c1,953,UPSTREAM_BASE_REMOVAL,A3_ONLY
1169a1,1,UPSTREAM_BASE_REMOVAL,A3_ONLY
1169a1,29,UPSTREAM_BASE_REMOVAL,A3_ONLY
1169a1,137,UPSTREAM_BASE_REMOVAL,A3_ONLY
1169a1,221,UPSTREAM_BASE_REMOVAL,A3_ONLY
1169a1,233,UPSTREAM_BASE_REMOVAL,A3_ONLY
1169a1,281,UPSTREAM_BASE_REMOVAL,A3_ONLY
1169a1,337,UPSTREAM_BASE_REMOVAL,A3_ONLY
1169a1,449,UPSTREAM_BASE_REMOVAL,A3_ONLY
1169a1,533,UPSTREAM_BASE_REMOVAL,A3_ONLY
1169a1,557,UPSTREAM_BASE_REMOVAL,A3_ONLY
1169a1,589,UPSTREAM_BASE_REMOVAL,A3_ONLY
1169a1,613,UPSTREAM_BASE_REMOVAL,A3_ONLY
1169a1,617,UPSTREAM_BASE_REMOVAL,A3_ONLY
1169a1,653,UPSTREAM_BASE_REMOVAL,A3_ONLY
1169a1,697,UPSTREAM_BASE_REMOVAL,A3_ONLY
1169a1,701,UPSTREAM_BASE_REMOVAL,A3_ONLY
1169a1,757,UPSTREAM_BASE_REMOVAL,A3_ONLY
1169a1,877,UPSTREAM_BASE_REMOVAL,A3_ONLY
