curve_label,lmfdb_label,source,conductor,old_twist_count,new_twist_count,removed_twist_count,added_twist_count,net_delta,algorithm2_class
48637a1,48637.a1,Zha16_no_2_tors,48637,25,18,7,0,-7,SHRINK_ONLY
48658a1,48658.a2,CLZ20,48658,1,1,0,0,0,UNCHANGED
48670e1,48670.d1,Zha16_no_2_tors,48670,4,3,1,0,-1,SHRINK_ONLY
48678m1,48678.m1,Zha16_no_2_tors,48678,1,1,0,0,0,UNCHANGED
48678q1,48678.p1,Zha16_no_2_tors,48678,1,1,0,0,0,UNCHANGED
48685a1,48685.a1,Zha16_no_2_tors,48685,3,2,1,0,-1,SHRINK_ONLY
48702a1,48702.a1,Zha16_no_2_tors,48702,4,4,0,0,0,UNCHANGED
48714g1,48714.h1,Zha16_no_2_tors,48714,5,5,0,0,0,UNCHANGED
48714o1,48714.p1,Zha16_no_2_tors,48714,5,5,0,0,0,UNCHANGED
48718a1,48718.a1,Zha16_no_2_tors,48718,20,20,0,0,0,UNCHANGED
48729b1,48729.b1,Zha16_no_2_tors,48729,7,7,0,0,0,UNCHANGED
48747a1,48747.a1,Zha16_no_2_tors,48747,14,14,0,0,0,UNCHANGED
48766a1,48766.a1,Zha16_no_2_tors,48766,6,6,0,0,0,UNCHANGED
48770a1,48770.b1,Zha16_no_2_tors,48770,6,6,0,0,0,UNCHANGED
48770b1,48770.a1,Zha16_no_2_tors,48770,10,9,1,0,-1,SHRINK_ONLY
48770c1,48770.f1,Zha16_no_2_tors,48770,10,10,0,0,0,UNCHANGED
48777c1,48777.c1,Zha16_no_2_tors,48777,5,5,0,0,0,UNCHANGED
48782a1,48782.a1,Zha16_no_2_tors,48782,18,18,0,0,0,UNCHANGED
48794b1,48794.b1,Zha16_no_2_tors,48794,12,10,2,0,-2,SHRINK_ONLY
48814a1,48814.a1,Zha16_no_2_tors,48814,29,19,10,0,-10,SHRINK_ONLY
48822d1,48822.e1,Zha16_no_2_tors,48822,3,3,0,0,0,UNCHANGED
48830b1,48830.b1,Zha16_no_2_tors,48830,3,3,0,0,0,UNCHANGED
48854b1,48854.a1,Zha16_no_2_tors,48854,9,6,3,0,-3,SHRINK_ONLY
48858a1,48858.a1,Zha16_no_2_tors,48858,2,2,0,0,0,UNCHANGED
48863b1,48863.a1,Zha16_no_2_tors,48863,13,13,0,0,0,UNCHANGED
48865a1,48865.a1,Zha16_no_2_tors,48865,9,9,0,0,0,UNCHANGED
48867a1,48867.b1,Zha16_no_2_tors,48867,4,4,0,0,0,UNCHANGED
48867b1,48867.a1,Zha16_no_2_tors,48867,3,3,0,0,0,UNCHANGED
48878a1,48878.a2,CLZ20,48878,1,1,0,0,0,UNCHANGED
48909a1,48909.a1,Zha16_no_2_tors,48909,4,4,0,0,0,UNCHANGED
48918c1,48918.g1,Zha16_no_2_tors,48918,3,3,0,0,0,UNCHANGED
48918e1,48918.d1,Zha16_no_2_tors,48918,6,6,0,0,0,UNCHANGED
48918f1,48918.c1,Zha16_no_2_tors,48918,3,3,0,0,0,UNCHANGED
48918i1,48918.i1,Zha16_no_2_tors,48918,3,3,0,0,0,UNCHANGED
48918j1,48918.j1,Zha16_no_2_tors,48918,6,6,0,0,0,UNCHANGED
48938a1,48938.a1,Zha16_no_2_tors,48938,23,17,6,0,-6,SHRINK_ONLY
48939a1,48939.b1,Zha16_no_2_tors,48939,7,7,0,0,0,UNCHANGED
48941a1,48941.a1,Zha16_no_2_tors,48941,20,20,0,0,0,UNCHANGED
48954g1,48954.f1,Zha16_no_2_tors,48954,2,2,0,0,0,UNCHANGED
48955a1,48955.a1,Zha16_no_2_tors,48955,15,15,0,0,0,UNCHANGED
48957a1,48957.a1,Zha16_no_2_tors,48957,14,14,0,0,0,UNCHANGED
48963a1,48963.a1,CLZ20,48963,1,1,0,0,0,UNCHANGED
48990b1,48990.c1,Zha16_no_2_tors,48990,1,1,0,0,0,UNCHANGED
48990c1,48990.b1,Zha16_no_2_tors,48990,2,2,0,0,0,UNCHANGED
48990d1,48990.d1,Zha16_no_2_tors,48990,1,1,0,0,0,UNCHANGED
48990g1,48990.e1,Zha16_no_2_tors,48990,1,1,0,0,0,UNCHANGED
48990m1,48990.l1,Zha16_no_2_tors,48990,2,2,0,0,0,UNCHANGED
49021a1,49021.b1,Zha16_no_2_tors,49021,6,6,0,0,0,UNCHANGED
49021b1,49021.d1,Zha16_no_2_tors,49021,11,9,2,0,-2,SHRINK_ONLY
49021c1,49021.a1,Zha16_no_2_tors,49021,6,6,0,0,0,UNCHANGED
49021d1,49021.c1,Zha16_no_2_tors,49021,11,9,2,0,-2,SHRINK_ONLY
49034b1,49034.b1,Zha16_no_2_tors,49034,19,19,0,0,0,UNCHANGED
49035a1,49035.d1,Zha16_no_2_tors,49035,2,2,0,0,0,UNCHANGED
49038g1,49038.g1,Zha16_no_2_tors,49038,4,4,0,0,0,UNCHANGED
49062a1,49062.b1,Zha16_no_2_tors,49062,3,3,0,0,0,UNCHANGED
49062bb1,49062.bb1,Zha16_no_2_tors,49062,3,3,0,0,0,UNCHANGED
49062c1,49062.f1,Zha16_no_2_tors,49062,3,3,0,0,0,UNCHANGED
49062n1,49062.n1,Zha16_no_2_tors,49062,3,3,0,0,0,UNCHANGED
49062o1,49062.q1,Zha16_no_2_tors,49062,3,3,0,0,0,UNCHANGED
49062r1,49062.w1,Zha16_no_2_tors,49062,3,3,0,0,0,UNCHANGED
49062u1,49062.r1,Zha16_no_2_tors,49062,3,3,0,0,0,UNCHANGED
49063b1,49063.a1,CLZ20,49063,1,1,0,0,0,UNCHANGED
49067b1,49067.b1,Zha16_no_2_tors,49067,9,9,0,0,0,UNCHANGED
49074a1,49074.a1,CLZ20,49074,4,4,0,0,0,UNCHANGED
49074c1,49074.d1,Zha16_no_2_tors,49074,11,11,0,0,0,UNCHANGED
49091b1,49091.a1,Zha16_no_2_tors,49091,23,16,7,0,-7,SHRINK_ONLY
49093a1,49093.a1,Zha16_no_2_tors,49093,24,16,8,0,-8,SHRINK_ONLY
49097a1,49097.a1,Zha16_no_2_tors,49097,17,13,4,0,-4,SHRINK_ONLY
49101a1,49101.b1,Zha16_no_2_tors,49101,6,6,0,0,0,UNCHANGED
49134a1,49134.a1,Zha16_no_2_tors,49134,5,5,0,0,0,UNCHANGED
49134c1,49134.b1,Zha16_no_2_tors,49134,2,2,0,0,0,UNCHANGED
49134i1,49134.i1,Zha16_no_2_tors,49134,2,2,0,0,0,UNCHANGED
49134j1,49134.k1,Zha16_no_2_tors,49134,2,2,0,0,0,UNCHANGED
49134k1,49134.h1,Zha16_no_2_tors,49134,5,5,0,0,0,UNCHANGED
49137b1,49137.a2,CLZ20,49137,1,1,0,0,0,UNCHANGED
