curve_label,status,old_index,new_index,old_source,new_source,old_lmfdb_label,new_lmfdb_label
4389k1,REMOVED,4400,,Zha16_no_2_tors,,4389.b2,
4403b1,REMOVED,4403,,Zha16_no_2_tors,,4403.a1,
4415a1,REMOVED,4404,,Zha16_no_2_tors,,4415.b1,
4499a1,REMOVED,4415,,Zha16_no_2_tors,,4499.a1,
4667a1,REMOVED,4430,,Zha16_no_2_tors,,4667.a1,
4814d1,REMOVED,4447,,Zha16_no_2_tors,,4814.d1,
4822a1,REMOVED,4448,,Zha16_no_2_tors,,4822.a1,
4826c1,REMOVED,4449,,Zha16_no_2_tors,,4826.b1,
4898b1,REMOVED,4455,,Zha16_no_2_tors,,4898.b1,
4898d1,REMOVED,4456,,Zha16_no_2_tors,,4898.d1,
4907a1,REMOVED,4458,,Zha16_no_2_tors,,4907.c1,
4966a1,REMOVED,4469,,Zha16_no_2_tors,,4966.a1,
5010h1,REMOVED,4475,,Zha16_no_2_tors,,5010.h2,
5014a1,REMOVED,4476,,Zha16_no_2_tors,,5014.a1,
5030i1,REMOVED,4480,,Zha16_no_2_tors,,5030.i1,
5278c1,REMOVED,4506,,Zha16_no_2_tors,,5278.a3,
5278g1,REMOVED,4508,,Zha16_no_2_tors,,5278.d2,
5306d1,REMOVED,4510,,Zha16_no_2_tors,,5306.d1,
5395b1,REMOVED,4515,,Zha16_no_2_tors,,5395.b1,
5510f1,REMOVED,4521,,Zha16_no_2_tors,,5510.b1,
5510i1,REMOVED,4523,,Zha16_no_2_tors,,5510.l1,
5518a1,REMOVED,4524,,Zha16_no_2_tors,,5518.a2,
5691g1,REMOVED,4542,,Zha16_no_2_tors,,5691.a2,
5722b1,REMOVED,4546,,Zha16_no_2_tors,,5722.c1,
5845e1,REMOVED,4558,,Zha16_no_2_tors,,5845.e1,
5890d1,REMOVED,4565,,Zha16_no_2_tors,,5890.a3,
5954d1,REMOVED,4571,,Zha16_no_2_tors,,5954.f1,
6130c1,REMOVED,4598,,Zha16_no_2_tors,,6130.c1,
6179a1,REMOVED,4601,,Zha16_no_2_tors,,6179.a1,
6205b1,REMOVED,4603,,Zha16_no_2_tors,,6205.b2,
6227c1,REMOVED,4610,,Zha16_no_2_tors,,6227.a1,
6290g1,REMOVED,4616,,Zha16_no_2_tors,,6290.i1,
6603b1,REMOVED,4649,,Zha16_no_2_tors,,6603.a2,
6635a1,REMOVED,4653,,Zha16_no_2_tors,,6635.a1,
6670b1,REMOVED,4658,,Zha16_no_2_tors,,6670.d1,
6690j1,REMOVED,4669,,Zha16_no_2_tors,,6690.j2,
6715b1,REMOVED,4671,,Zha16_no_2_tors,,6715.c2,
6806e1,REMOVED,4685,,Zha16_no_2_tors,,6806.f2,
6886a1,REMOVED,4691,,Zha16_no_2_tors,,6886.a2,
6965c1,REMOVED,4701,,Zha16_no_2_tors,,6965.a1,
6974a1,REMOVED,4703,,Zha16_no_2_tors,,6974.b1,
7070i1,REMOVED,4716,,Zha16_no_2_tors,,7070.j1,
7130a1,REMOVED,4726,,Zha16_no_2_tors,,7130.e1,
7130g1,REMOVED,4728,,Zha16_no_2_tors,,7130.g1,
7162b1,REMOVED,4731,,Zha16_no_2_tors,,7162.b1,
7310c1,REMOVED,4752,,Zha16_no_2_tors,,7310.a2,
7315b1,REMOVED,4755,,Zha16_no_2_tors,,7315.b1,
7370j1,REMOVED,4761,,Zha16_no_2_tors,,7370.g2,
7397a1,REMOVED,4768,,Zha16_no_2_tors,,7397.a1,
7471b1,REMOVED,4774,,Zha16_no_2_tors,,7471.b1,
7538b1,REMOVED,4785,,Zha16_no_2_tors,,7538.b1,
7598h1,REMOVED,4797,,Zha16_no_2_tors,,7598.k1,
7610b1,REMOVED,4799,,Zha16_no_2_tors,,7610.e1,
7667a1,REMOVED,4804,,Zha16_no_2_tors,,7667.a2,
7739a1,REMOVED,4811,,Zha16_no_2_tors,,7739.a1,
7802c1,REMOVED,4818,,Zha16_no_2_tors,,7802.b1,
7805c1,REMOVED,4820,,Zha16_no_2_tors,,7805.c1,
7811b1,REMOVED,4821,,Zha16_no_2_tors,,7811.c1,
7939a1,REMOVED,4834,,Zha16_no_2_tors,,7939.a1,
8098a1,REMOVED,4843,,Zha16_no_2_tors,,8098.a1,
8098b1,REMOVED,4845,,Zha16_no_2_tors,,8098.d2,
8099a1,REMOVED,4846,,Zha16_no_2_tors,,8099.a1,
8153a1,REMOVED,4858,,Zha16_no_2_tors,,8153.a1,
8194a1,REMOVED,4862,,Zha16_no_2_tors,,8194.a1,
8270a1,REMOVED,4866,,Zha16_no_2_tors,,8270.a1,
8283j1,REMOVED,4868,,Zha16_no_2_tors,,8283.a2,
8315a1,REMOVED,4872,,Zha16_no_2_tors,,8315.a1,
8323c1,REMOVED,4873,,Zha16_no_2_tors,,8323.a1,
8342d1,REMOVED,4876,,Zha16_no_2_tors,,8342.d1,
8374f1,REMOVED,4881,,Zha16_no_2_tors,,8374.f1,
8414h1,REMOVED,4884,,Zha16_no_2_tors,,8414.e2,
8437b1,REMOVED,4889,,Zha16_no_2_tors,,8437.b2,
8510c1,REMOVED,4903,,Zha16_no_2_tors,,8510.c1,
8510f1,REMOVED,4904,,Zha16_no_2_tors,,8510.g2,
8531a1,REMOVED,4908,,Zha16_no_2_tors,,8531.a2,
8630a1,REMOVED,4917,,Zha16_no_2_tors,,8630.a1,
8806a1,REMOVED,4937,,Zha16_no_2_tors,,8806.d1,
8827c1,REMOVED,4939,,Zha16_no_2_tors,,8827.c3,
8834d1,REMOVED,4941,,Zha16_no_2_tors,,8834.f1,
8834e1,REMOVED,4940,,Zha16_no_2_tors,,8834.d2,
8890j1,REMOVED,4945,,Zha16_no_2_tors,,8890.p1,
8899a1,REMOVED,4946,,Zha16_no_2_tors,,8899.a1,
8930l1,REMOVED,4948,,Zha16_no_2_tors,,8930.i2,
9022a1,REMOVED,4953,,Zha16_no_2_tors,,9022.a1,
9062a1,REMOVED,4964,,Zha16_no_2_tors,,9062.a2,
9094a1,REMOVED,4968,,Zha16_no_2_tors,,9094.a1,
9253b1,REMOVED,4975,,Zha16_no_2_tors,,9253.a1,
9266c1,REMOVED,4977,,Zha16_no_2_tors,,9266.e1,
9266f1,REMOVED,4978,,Zha16_no_2_tors,,9266.f1,
9286b1,REMOVED,4985,,Zha16_no_2_tors,,9286.b2,
9394d1,REMOVED,4990,,Zha16_no_2_tors,,9394.c2,
9394l1,REMOVED,4992,,Zha16_no_2_tors,,9394.l3,
9566a1,REMOVED,5006,,Zha16_no_2_tors,,9566.a1,
9574e1,REMOVED,5009,,Zha16_no_2_tors,,9574.e1,
9595a1,REMOVED,5015,,Zha16_no_2_tors,,9595.a2,
9686d1,REMOVED,5031,,Zha16_no_2_tors,,9686.d1,
9718b1,REMOVED,5035,,Zha16_no_2_tors,,9718.b2,
9766c1,REMOVED,5037,,Zha16_no_2_tors,,9766.a1,
9805b1,REMOVED,5043,,Zha16_no_2_tors,,9805.a1,
9934g1,REMOVED,5051,,Zha16_no_2_tors,,9934.e1,
9938a1,REMOVED,5052,,Zha16_no_2_tors,,9938.a1,
