curve_label,lmfdb_label,source,conductor,has_isogeny_3,has_isogeny_5,has_isogeny_7,isogeny_set_357,isogeny_degrees,a3,abs_a3_eq_3,failure_class,good_reduction_at_3,projective_point_count_at_3,nonsingular_projective_point_count_at_3,ecdata_aplist_a3_token
8834e1,8834.d2,Zha16_no_2_tors,8834,False,True,False,5,1;5,-1,False,ISOGENY_ONLY,True,5,5,-1
8890j1,8890.p1,Zha16_no_2_tors,8890,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
8899a1,8899.a1,Zha16_no_2_tors,8899,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
8930l1,8930.i2,Zha16_no_2_tors,8930,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
9022a1,9022.a1,Zha16_no_2_tors,9022,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
9062a1,9062.a2,Zha16_no_2_tors,9062,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
9094a1,9094.a1,Zha16_no_2_tors,9094,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
9253b1,9253.a1,Zha16_no_2_tors,9253,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
9266c1,9266.e1,Zha16_no_2_tors,9266,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
9266f1,9266.f1,Zha16_no_2_tors,9266,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
9286b1,9286.b2,Zha16_no_2_tors,9286,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
9394d1,9394.c2,Zha16_no_2_tors,9394,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
9394l1,9394.l3,Zha16_no_2_tors,9394,True,False,False,3,1;3;9,1,False,ISOGENY_ONLY,True,3,3,1
9566a1,9566.a1,Zha16_no_2_tors,9566,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
9574e1,9574.e1,Zha16_no_2_tors,9574,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
9595a1,9595.a2,Zha16_no_2_tors,9595,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
9686d1,9686.d1,Zha16_no_2_tors,9686,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
9718b1,9718.b2,Zha16_no_2_tors,9718,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
9766c1,9766.a1,Zha16_no_2_tors,9766,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
9805b1,9805.a1,Zha16_no_2_tors,9805,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
9934g1,9934.e1,Zha16_no_2_tors,9934,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
9938a1,9938.a1,Zha16_no_2_tors,9938,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
10010e1,10010.g1,Zha16_no_2_tors,10010,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
10010l1,10010.h1,Zha16_no_2_tors,10010,True,False,False,3,1;3;9,1,False,ISOGENY_ONLY,True,3,3,1
10010r1,10010.z1,Zha16_no_2_tors,10010,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
10087b1,10087.b1,Zha16_no_2_tors,10087,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
10087c1,10087.a1,Zha16_no_2_tors,10087,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
10106a1,10106.a2,Zha16_no_2_tors,10106,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
10142a1,10142.a1,Zha16_no_2_tors,10142,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
10306b1,10306.a1,Zha16_no_2_tors,10306,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
10310b1,10310.b2,Zha16_no_2_tors,10310,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
10349b1,10349.a1,Zha16_no_2_tors,10349,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
10370b1,10370.c2,Zha16_no_2_tors,10370,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
10370d1,10370.d1,Zha16_no_2_tors,10370,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
10402f1,10402.f1,Zha16_no_2_tors,10402,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
10470d1,10470.d1,Zha16_no_2_tors,10470,False,False,True,7,1;7,1,False,ISOGENY_ONLY,False,3,2,-
10538b1,10538.a2,Zha16_no_2_tors,10538,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
10598b1,10598.b1,Zha16_no_2_tors,10598,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
10619a1,10619.a1,Zha16_no_2_tors,10619,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
10621c1,10621.c3,Zha16_no_2_tors,10621,True,False,False,3,1;3;9,1,False,ISOGENY_ONLY,True,3,3,1
10762c1,10762.c1,Zha16_no_2_tors,10762,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
10790j1,10790.i2,Zha16_no_2_tors,10790,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
10790k1,10790.k1,Zha16_no_2_tors,10790,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
10802a1,10802.a1,Zha16_no_2_tors,10802,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
10846a1,10846.a1,Zha16_no_2_tors,10846,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
10846f1,10846.e2,Zha16_no_2_tors,10846,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
10990g1,10990.g3,Zha16_no_2_tors,10990,True,False,False,3,1;3;9,1,False,ISOGENY_ONLY,True,3,3,1
10990i1,10990.b2,Zha16_no_2_tors,10990,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
10994k1,10994.p1,Zha16_no_2_tors,10994,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
11015a1,11015.a1,Zha16_no_2_tors,11015,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
11170d1,11170.e2,Zha16_no_2_tors,11170,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
11219a1,11219.b1,Zha16_no_2_tors,11219,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
11267e1,11267.e1,Zha16_no_2_tors,11267,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
11390c1,11390.a1,Zha16_no_2_tors,11390,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
11390g1,11390.g1,Zha16_no_2_tors,11390,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
11438a1,11438.a1,Zha16_no_2_tors,11438,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
11590b1,11590.a1,Zha16_no_2_tors,11590,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
11590o1,11590.m2,Zha16_no_2_tors,11590,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
11590r1,11590.r1,Zha16_no_2_tors,11590,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
11609c1,11609.c1,Zha16_no_2_tors,11609,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
11702a1,11702.a1,Zha16_no_2_tors,11702,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
11795a1,11795.a1,Zha16_no_2_tors,11795,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
11843a1,11843.b1,Zha16_no_2_tors,11843,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
11914e1,11914.b3,Zha16_no_2_tors,11914,True,False,False,3,1;3;9,-2,False,ISOGENY_ONLY,True,6,6,-2
11965b1,11965.b1,Zha16_no_2_tors,11965,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
12122b1,12122.b1,Zha16_no_2_tors,12122,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
12122c1,12122.c1,Zha16_no_2_tors,12122,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
12122d1,12122.e2,Zha16_no_2_tors,12122,False,True,False,5,1;5,-1,False,ISOGENY_ONLY,True,5,5,-1
12155c1,12155.f1,Zha16_no_2_tors,12155,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
12155f1,12155.g1,Zha16_no_2_tors,12155,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
12194b1,12194.a1,Zha16_no_2_tors,12194,False,False,False,,1,-3,True,A3_ONLY,True,7,7,-3
12194d1,12194.b1,Zha16_no_2_tors,12194,True,False,False,3,1;3;9,1,False,ISOGENY_ONLY,True,3,3,1
12206a1,12206.a1,Zha16_no_2_tors,12206,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
