curve_label,twist,source,lmfdb_label,conductor,reason
974b1,129,Zha16_no_2_tors,974.a1,974,STABLE_BASE_ALGORITHM2_REMOVAL
974b1,177,Zha16_no_2_tors,974.a1,974,STABLE_BASE_ALGORITHM2_REMOVAL
974b1,393,Zha16_no_2_tors,974.a1,974,STABLE_BASE_ALGORITHM2_REMOVAL
974b1,489,Zha16_no_2_tors,974.a1,974,STABLE_BASE_ALGORITHM2_REMOVAL
974b1,537,Zha16_no_2_tors,974.a1,974,STABLE_BASE_ALGORITHM2_REMOVAL
1043a1,177,Zha16_no_2_tors,1043.a1,1043,STABLE_BASE_ALGORITHM2_REMOVAL
1043a1,249,Zha16_no_2_tors,1043.a1,1043,STABLE_BASE_ALGORITHM2_REMOVAL
1043a1,501,Zha16_no_2_tors,1043.a1,1043,STABLE_BASE_ALGORITHM2_REMOVAL
1043a1,597,Zha16_no_2_tors,1043.a1,1043,STABLE_BASE_ALGORITHM2_REMOVAL
1043a1,681,Zha16_no_2_tors,1043.a1,1043,STABLE_BASE_ALGORITHM2_REMOVAL
1043a1,849,Zha16_no_2_tors,1043.a1,1043,STABLE_BASE_ALGORITHM2_REMOVAL
1070d1,249,Zha16_no_2_tors,1070.d1,1070,STABLE_BASE_ALGORITHM2_REMOVAL
1070d1,849,Zha16_no_2_tors,1070.d1,1070,STABLE_BASE_ALGORITHM2_REMOVAL
1090a1,129,Zha16_no_2_tors,1090.a1,1090,STABLE_BASE_ALGORITHM2_REMOVAL
1090a1,249,Zha16_no_2_tors,1090.a1,1090,STABLE_BASE_ALGORITHM2_REMOVAL
1090a1,561,Zha16_no_2_tors,1090.a1,1090,STABLE_BASE_ALGORITHM2_REMOVAL
1090a1,681,Zha16_no_2_tors,1090.a1,1090,STABLE_BASE_ALGORITHM2_REMOVAL
1090a1,921,Zha16_no_2_tors,1090.a1,1090,STABLE_BASE_ALGORITHM2_REMOVAL
1166d1,201,Zha16_no_2_tors,1166.d1,1166,STABLE_BASE_ALGORITHM2_REMOVAL
1166d1,705,Zha16_no_2_tors,1166.d1,1166,STABLE_BASE_ALGORITHM2_REMOVAL
