curve_label,source,conductor,generator_twists,old_source_replayed_twists,current_twists,removed_by_new_gcd,added_by_disc_gate_deletion,hidden_both_blocked,semantic_class
69218c1,Zha16_no_2_tors,69218,9,9,6,3,0,0,SHRINK_ONLY
69229c1,Zha16_no_2_tors,69229,21,21,21,0,0,0,UNCHANGED
6922a1,Zha16_no_2_tors,6922,19,19,19,0,0,0,UNCHANGED
69230m1,Zha16_no_2_tors,69230,1,1,1,0,0,0,UNCHANGED
69230o1,Zha16_no_2_tors,69230,1,1,1,0,0,0,UNCHANGED
69253a1,Zha16_no_2_tors,69253,28,28,21,7,0,0,SHRINK_ONLY
69267a1,Zha16_no_2_tors,69267,8,8,8,0,0,0,UNCHANGED
69270a1,Zha16_no_2_tors,69270,4,4,4,0,0,0,UNCHANGED
69270b1,Zha16_no_2_tors,69270,4,4,4,0,0,0,UNCHANGED
69270c1,Zha16_no_2_tors,69270,4,4,4,0,0,0,UNCHANGED
69278b1,Zha16_no_2_tors,69278,3,3,3,0,0,0,UNCHANGED
69278g1,Zha16_no_2_tors,69278,3,3,3,0,0,0,UNCHANGED
69314c1,Zha16_no_2_tors,69314,11,11,8,3,0,0,SHRINK_ONLY
69315a1,Zha16_no_2_tors,69315,3,3,3,0,0,0,UNCHANGED
69331a1,Zha16_no_2_tors,69331,9,9,9,0,0,0,UNCHANGED
69339a1,Zha16_no_2_tors,69339,7,7,7,0,0,0,UNCHANGED
69355c1,Zha16_no_2_tors,69355,6,6,6,0,0,0,UNCHANGED
69366g1,Zha16_no_2_tors,69366,2,2,2,0,0,0,UNCHANGED
69366m1,Zha16_no_2_tors,69366,2,2,2,0,0,0,UNCHANGED
69402b1,Zha16_no_2_tors,69402,2,2,2,0,0,0,UNCHANGED
69402c1,Zha16_no_2_tors,69402,3,3,3,0,0,0,UNCHANGED
69402j1,Zha16_no_2_tors,69402,2,2,2,0,0,0,UNCHANGED
69405c1,Zha16_no_2_tors,69405,3,3,3,0,0,0,UNCHANGED
69405d1,Zha16_no_2_tors,69405,3,3,3,0,0,0,UNCHANGED
69414a1,Zha16_no_2_tors,69414,3,3,3,0,0,0,UNCHANGED
69414g1,Zha16_no_2_tors,69414,3,3,3,0,0,0,UNCHANGED
69429a1,Zha16_no_2_tors,69429,18,18,18,0,0,0,UNCHANGED
69430a1,Zha16_no_2_tors,69430,3,3,3,0,0,0,UNCHANGED
69430e1,Zha16_no_2_tors,69430,3,3,3,0,0,0,UNCHANGED
69430g1,Zha16_no_2_tors,69430,3,3,3,0,0,0,UNCHANGED
69438a1,Zha16_no_2_tors,69438,3,3,3,0,0,0,UNCHANGED
69470a1,Zha16_no_2_tors,69470,9,9,9,0,0,0,UNCHANGED
69474a1,CLZ20,69474,1,1,1,0,0,0,UNCHANGED
69485b1,Zha16_no_2_tors,69485,5,5,5,0,0,0,UNCHANGED
69494a1,Zha16_no_2_tors,69494,41,41,35,6,0,0,SHRINK_ONLY
69515c1,Zha16_no_2_tors,69515,20,20,14,6,0,0,SHRINK_ONLY
69522a1,CLZ20,69522,1,1,1,0,0,0,UNCHANGED
69527a1,Zha16_no_2_tors,69527,21,21,14,7,0,0,SHRINK_ONLY
69542c1,Zha16_no_2_tors,69542,4,4,3,1,0,0,SHRINK_ONLY
6954h1,Zha16_no_2_tors,6954,4,4,4,0,0,0,UNCHANGED
6954m1,Zha16_no_2_tors,6954,4,4,4,0,0,0,UNCHANGED
69555a1,Zha16_no_2_tors,69555,6,6,6,0,0,0,UNCHANGED
69569a1,CLZ20,69569,2,2,2,0,0,0,UNCHANGED
69586a1,CLZ20,69586,4,4,4,0,0,0,UNCHANGED
69589a1,Zha16_no_2_tors,69589,12,12,7,5,0,0,SHRINK_ONLY
69598f1,Zha16_no_2_tors,69598,3,3,3,0,0,0,UNCHANGED
69607a1,CLZ20,69607,1,1,1,0,0,0,UNCHANGED
69613a1,CLZ20,69613,1,1,1,0,0,0,UNCHANGED
69622a1,Zha16_no_2_tors,69622,5,5,5,0,0,0,UNCHANGED
6963a1,Zha16_no_2_tors,6963,3,3,3,0,0,0,UNCHANGED
6963b1,Zha16_no_2_tors,6963,5,5,5,0,0,0,UNCHANGED
6963c1,Zha16_no_2_tors,6963,3,3,3,0,0,0,UNCHANGED
6963e1,Zha16_no_2_tors,6963,5,5,5,0,0,0,UNCHANGED
69645a1,Zha16_no_2_tors,69645,7,7,7,0,0,0,UNCHANGED
69645b1,CLZ20,69645,2,2,2,0,0,0,UNCHANGED
69654o1,Zha16_no_2_tors,69654,1,1,1,0,0,0,UNCHANGED
69654q1,Zha16_no_2_tors,69654,1,1,1,0,0,0,UNCHANGED
69682a1,CLZ20,69682,1,1,1,0,0,0,UNCHANGED
69690d1,Zha16_no_2_tors,69690,3,3,3,0,0,0,UNCHANGED
69690i1,Zha16_no_2_tors,69690,3,3,3,0,0,0,UNCHANGED
69699c1,Zha16_no_2_tors,69699,7,7,7,0,0,0,UNCHANGED
69702b1,Zha16_no_2_tors,69702,9,9,9,0,0,0,UNCHANGED
69715a1,Zha16_no_2_tors,69715,7,7,7,0,0,0,UNCHANGED
69721a1,CLZ20,69721,1,1,1,0,0,0,UNCHANGED
69729c1,Zha16_no_2_tors,69729,8,8,8,0,0,0,UNCHANGED
69745b1,Zha16_no_2_tors,69745,3,3,3,0,0,0,UNCHANGED
69745f1,Zha16_no_2_tors,69745,3,3,3,0,0,0,UNCHANGED
69747b1,CLZ20,69747,1,1,1,0,0,0,UNCHANGED
6974b1,Zha16_no_2_tors,6974,10,10,9,1,0,0,SHRINK_ONLY
69758d1,Zha16_no_2_tors,69758,11,11,7,4,0,0,SHRINK_ONLY
69762bf1,Zha16_no_2_tors,69762,2,2,2,0,0,0,UNCHANGED
69762g1,Zha16_no_2_tors,69762,2,2,2,0,0,0,UNCHANGED
69762n1,Zha16_no_2_tors,69762,2,2,2,0,0,0,UNCHANGED
69774b1,Zha16_no_2_tors,69774,6,6,6,0,0,0,UNCHANGED
6978a1,Zha16_no_2_tors,6978,7,7,7,0,0,0,UNCHANGED
6981b1,CLZ20,6981,1,1,1,0,0,0,UNCHANGED
69823a1,Zha16_no_2_tors,69823,10,10,10,0,0,0,UNCHANGED
69823b1,Zha16_no_2_tors,69823,10,10,10,0,0,0,UNCHANGED
69835a1,Zha16_no_2_tors,69835,13,13,13,0,0,0,UNCHANGED
69846c1,Zha16_no_2_tors,69846,3,3,3,0,0,0,UNCHANGED
69846j1,Zha16_no_2_tors,69846,3,3,3,0,0,0,UNCHANGED
69870h1,Zha16_no_2_tors,69870,2,2,2,0,0,0,UNCHANGED
69870u1,Zha16_no_2_tors,69870,2,2,2,0,0,0,UNCHANGED
69870v1,Zha16_no_2_tors,69870,2,2,2,0,0,0,UNCHANGED
69882a1,Zha16_no_2_tors,69882,3,3,3,0,0,0,UNCHANGED
69889a1,CLZ20,69889,1,1,1,0,0,0,UNCHANGED
69914b1,Zha16_no_2_tors,69914,12,12,9,3,0,0,SHRINK_ONLY
69926b1,Zha16_no_2_tors,69926,23,23,14,9,0,0,SHRINK_ONLY
69946c1,Zha16_no_2_tors,69946,10,10,10,0,0,0,UNCHANGED
69949a1,Zha16_no_2_tors,69949,16,16,16,0,0,0,UNCHANGED
69970b1,Zha16_no_2_tors,69970,8,8,8,0,0,0,UNCHANGED
69971a1,Zha16_no_2_tors,69971,22,22,16,6,0,0,SHRINK_ONLY
699a1,Zha16_no_2_tors,699,17,17,17,0,0,0,UNCHANGED
