curve_label,twist,source,conductor,reason
10274a1,993,Zha16_no_2_tors,10274,NEW_GCD_3N
10274b1,177,Zha16_no_2_tors,10274,NEW_GCD_3N
10274b1,273,Zha16_no_2_tors,10274,NEW_GCD_3N
10274b1,465,Zha16_no_2_tors,10274,NEW_GCD_3N
10274b1,489,Zha16_no_2_tors,10274,NEW_GCD_3N
10274b1,537,Zha16_no_2_tors,10274,NEW_GCD_3N
10274b1,753,Zha16_no_2_tors,10274,NEW_GCD_3N
10274b1,993,Zha16_no_2_tors,10274,NEW_GCD_3N
10283a1,597,Zha16_no_2_tors,10283,NEW_GCD_3N
102878a1,33,Zha16_no_2_tors,102878,NEW_GCD_3N
102878a1,57,Zha16_no_2_tors,102878,NEW_GCD_3N
102878a1,129,Zha16_no_2_tors,102878,NEW_GCD_3N
102878a1,321,Zha16_no_2_tors,102878,NEW_GCD_3N
102878a1,417,Zha16_no_2_tors,102878,NEW_GCD_3N
102878a1,537,Zha16_no_2_tors,102878,NEW_GCD_3N
102878a1,897,Zha16_no_2_tors,102878,NEW_GCD_3N
102923c1,213,Zha16_no_2_tors,102923,NEW_GCD_3N
102923c1,321,Zha16_no_2_tors,102923,NEW_GCD_3N
102923c1,633,Zha16_no_2_tors,102923,NEW_GCD_3N
102923c1,921,Zha16_no_2_tors,102923,NEW_GCD_3N
102995a1,501,Zha16_no_2_tors,102995,NEW_GCD_3N
102995a1,669,Zha16_no_2_tors,102995,NEW_GCD_3N
102995a1,681,Zha16_no_2_tors,102995,NEW_GCD_3N
102995a1,741,Zha16_no_2_tors,102995,NEW_GCD_3N
103042a1,57,Zha16_no_2_tors,103042,NEW_GCD_3N
103042a1,129,Zha16_no_2_tors,103042,NEW_GCD_3N
103042a1,273,Zha16_no_2_tors,103042,NEW_GCD_3N
103042a1,321,Zha16_no_2_tors,103042,NEW_GCD_3N
103042a1,537,Zha16_no_2_tors,103042,NEW_GCD_3N
103042a1,609,Zha16_no_2_tors,103042,NEW_GCD_3N
103042a1,777,Zha16_no_2_tors,103042,NEW_GCD_3N
103042a1,897,Zha16_no_2_tors,103042,NEW_GCD_3N
103063a1,93,Zha16_no_2_tors,103063,NEW_GCD_3N
103063a1,177,Zha16_no_2_tors,103063,NEW_GCD_3N
103063a1,417,Zha16_no_2_tors,103063,NEW_GCD_3N
103063a1,453,Zha16_no_2_tors,103063,NEW_GCD_3N
103063a1,537,Zha16_no_2_tors,103063,NEW_GCD_3N
103063a1,633,Zha16_no_2_tors,103063,NEW_GCD_3N
103063a1,717,Zha16_no_2_tors,103063,NEW_GCD_3N
103427a1,57,Zha16_no_2_tors,103427,NEW_GCD_3N
103427a1,213,Zha16_no_2_tors,103427,NEW_GCD_3N
103427a1,597,Zha16_no_2_tors,103427,NEW_GCD_3N
103427a1,717,Zha16_no_2_tors,103427,NEW_GCD_3N
103427a1,969,Zha16_no_2_tors,103427,NEW_GCD_3N
10349a1,21,Zha16_no_2_tors,10349,NEW_GCD_3N
10349a1,105,Zha16_no_2_tors,10349,NEW_GCD_3N
10349a1,129,Zha16_no_2_tors,10349,NEW_GCD_3N
10349a1,177,Zha16_no_2_tors,10349,NEW_GCD_3N
10349a1,273,Zha16_no_2_tors,10349,NEW_GCD_3N
10349a1,321,Zha16_no_2_tors,10349,NEW_GCD_3N
10349a1,573,Zha16_no_2_tors,10349,NEW_GCD_3N
10349a1,633,Zha16_no_2_tors,10349,NEW_GCD_3N
10349a1,645,Zha16_no_2_tors,10349,NEW_GCD_3N
10349a1,813,Zha16_no_2_tors,10349,NEW_GCD_3N
10349a1,885,Zha16_no_2_tors,10349,NEW_GCD_3N
10349a1,921,Zha16_no_2_tors,10349,NEW_GCD_3N
10349a1,933,Zha16_no_2_tors,10349,NEW_GCD_3N
10349a1,969,Zha16_no_2_tors,10349,NEW_GCD_3N
10358a1,33,Zha16_no_2_tors,10358,NEW_GCD_3N
10358a1,57,Zha16_no_2_tors,10358,NEW_GCD_3N
10358a1,177,Zha16_no_2_tors,10358,NEW_GCD_3N
10358a1,249,Zha16_no_2_tors,10358,NEW_GCD_3N
10358a1,417,Zha16_no_2_tors,10358,NEW_GCD_3N
10358a1,489,Zha16_no_2_tors,10358,NEW_GCD_3N
10358a1,993,Zha16_no_2_tors,10358,NEW_GCD_3N
103610d1,849,Zha16_no_2_tors,103610,NEW_GCD_3N
103679a1,57,Zha16_no_2_tors,103679,NEW_GCD_3N
103679a1,201,Zha16_no_2_tors,103679,NEW_GCD_3N
103679a1,285,Zha16_no_2_tors,103679,NEW_GCD_3N
103679a1,321,Zha16_no_2_tors,103679,NEW_GCD_3N
103679a1,489,Zha16_no_2_tors,103679,NEW_GCD_3N
103679a1,537,Zha16_no_2_tors,103679,NEW_GCD_3N
103679a1,669,Zha16_no_2_tors,103679,NEW_GCD_3N
103679a1,741,Zha16_no_2_tors,103679,NEW_GCD_3N
10370e1,489,Zha16_no_2_tors,10370,NEW_GCD_3N
10370e1,849,Zha16_no_2_tors,10370,NEW_GCD_3N
103742a1,417,Zha16_no_2_tors,103742,NEW_GCD_3N
103742a1,921,Zha16_no_2_tors,103742,NEW_GCD_3N
103790a1,489,Zha16_no_2_tors,103790,NEW_GCD_3N
103790a1,681,Zha16_no_2_tors,103790,NEW_GCD_3N
103858c1,57,Zha16_no_2_tors,103858,NEW_GCD_3N
103858c1,129,Zha16_no_2_tors,103858,NEW_GCD_3N
103858c1,417,Zha16_no_2_tors,103858,NEW_GCD_3N
103858c1,633,Zha16_no_2_tors,103858,NEW_GCD_3N
103858c1,849,Zha16_no_2_tors,103858,NEW_GCD_3N
103858c1,897,Zha16_no_2_tors,103858,NEW_GCD_3N
103870h1,849,Zha16_no_2_tors,103870,NEW_GCD_3N
103870k1,849,Zha16_no_2_tors,103870,NEW_GCD_3N
103882a1,33,Zha16_no_2_tors,103882,NEW_GCD_3N
103882a1,249,Zha16_no_2_tors,103882,NEW_GCD_3N
103882a1,273,Zha16_no_2_tors,103882,NEW_GCD_3N
103882a1,321,Zha16_no_2_tors,103882,NEW_GCD_3N
103882a1,417,Zha16_no_2_tors,103882,NEW_GCD_3N
103882a1,489,Zha16_no_2_tors,103882,NEW_GCD_3N
103882a1,633,Zha16_no_2_tors,103882,NEW_GCD_3N
103882a1,753,Zha16_no_2_tors,103882,NEW_GCD_3N
103882a1,993,Zha16_no_2_tors,103882,NEW_GCD_3N
103894g1,681,Zha16_no_2_tors,103894,NEW_GCD_3N
103955a1,21,Zha16_no_2_tors,103955,NEW_GCD_3N
103955a1,321,Zha16_no_2_tors,103955,NEW_GCD_3N
103955a1,681,Zha16_no_2_tors,103955,NEW_GCD_3N
103955b1,21,Zha16_no_2_tors,103955,NEW_GCD_3N
103955b1,321,Zha16_no_2_tors,103955,NEW_GCD_3N
103955b1,681,Zha16_no_2_tors,103955,NEW_GCD_3N
10402d1,57,Zha16_no_2_tors,10402,NEW_GCD_3N
10402d1,393,Zha16_no_2_tors,10402,NEW_GCD_3N
10402d1,417,Zha16_no_2_tors,10402,NEW_GCD_3N
10402d1,849,Zha16_no_2_tors,10402,NEW_GCD_3N
104042b1,249,Zha16_no_2_tors,104042,NEW_GCD_3N
104042b1,321,Zha16_no_2_tors,104042,NEW_GCD_3N
104042b1,753,Zha16_no_2_tors,104042,NEW_GCD_3N
104210c1,681,Zha16_no_2_tors,104210,NEW_GCD_3N
104255b1,489,Zha16_no_2_tors,104255,NEW_GCD_3N
104255b1,789,Zha16_no_2_tors,104255,NEW_GCD_3N
104285a1,21,Zha16_no_2_tors,104285,NEW_GCD_3N
104285a1,141,Zha16_no_2_tors,104285,NEW_GCD_3N
104285a1,321,Zha16_no_2_tors,104285,NEW_GCD_3N
104354b1,33,Zha16_no_2_tors,104354,NEW_GCD_3N
104354b1,273,Zha16_no_2_tors,104354,NEW_GCD_3N
104354b1,417,Zha16_no_2_tors,104354,NEW_GCD_3N
104354b1,537,Zha16_no_2_tors,104354,NEW_GCD_3N
104354b1,561,Zha16_no_2_tors,104354,NEW_GCD_3N
104354b1,921,Zha16_no_2_tors,104354,NEW_GCD_3N
1043a1,177,Zha16_no_2_tors,1043,NEW_GCD_3N
1043a1,249,Zha16_no_2_tors,1043,NEW_GCD_3N
1043a1,501,Zha16_no_2_tors,1043,NEW_GCD_3N
1043a1,597,Zha16_no_2_tors,1043,NEW_GCD_3N
1043a1,681,Zha16_no_2_tors,1043,NEW_GCD_3N
1043a1,849,Zha16_no_2_tors,1043,NEW_GCD_3N
104438a1,129,Zha16_no_2_tors,104438,NEW_GCD_3N
104438a1,273,Zha16_no_2_tors,104438,NEW_GCD_3N
104438a1,321,Zha16_no_2_tors,104438,NEW_GCD_3N
104438a1,681,Zha16_no_2_tors,104438,NEW_GCD_3N
104474a1,33,Zha16_no_2_tors,104474,NEW_GCD_3N
104474a1,57,Zha16_no_2_tors,104474,NEW_GCD_3N
104474a1,105,Zha16_no_2_tors,104474,NEW_GCD_3N
104474a1,129,Zha16_no_2_tors,104474,NEW_GCD_3N
104474a1,177,Zha16_no_2_tors,104474,NEW_GCD_3N
104474a1,249,Zha16_no_2_tors,104474,NEW_GCD_3N
104474a1,393,Zha16_no_2_tors,104474,NEW_GCD_3N
104474a1,417,Zha16_no_2_tors,104474,NEW_GCD_3N
104474a1,489,Zha16_no_2_tors,104474,NEW_GCD_3N
104474a1,561,Zha16_no_2_tors,104474,NEW_GCD_3N
104474a1,609,Zha16_no_2_tors,104474,NEW_GCD_3N
104474a1,633,Zha16_no_2_tors,104474,NEW_GCD_3N
104474a1,849,Zha16_no_2_tors,104474,NEW_GCD_3N
104474a1,969,Zha16_no_2_tors,104474,NEW_GCD_3N
104474a1,993,Zha16_no_2_tors,104474,NEW_GCD_3N
104581b1,105,Zha16_no_2_tors,104581,NEW_GCD_3N
104581b1,141,Zha16_no_2_tors,104581,NEW_GCD_3N
104581b1,165,Zha16_no_2_tors,104581,NEW_GCD_3N
104581b1,285,Zha16_no_2_tors,104581,NEW_GCD_3N
104581b1,381,Zha16_no_2_tors,104581,NEW_GCD_3N
104581b1,393,Zha16_no_2_tors,104581,NEW_GCD_3N
104581b1,537,Zha16_no_2_tors,104581,NEW_GCD_3N
104581b1,633,Zha16_no_2_tors,104581,NEW_GCD_3N
104581b1,921,Zha16_no_2_tors,104581,NEW_GCD_3N
104581b1,993,Zha16_no_2_tors,104581,NEW_GCD_3N
104590a1,129,Zha16_no_2_tors,104590,NEW_GCD_3N
104590a1,249,Zha16_no_2_tors,104590,NEW_GCD_3N
104590a1,849,Zha16_no_2_tors,104590,NEW_GCD_3N
104630a1,321,Zha16_no_2_tors,104630,NEW_GCD_3N
104630a1,489,Zha16_no_2_tors,104630,NEW_GCD_3N
104662a1,489,Zha16_no_2_tors,104662,NEW_GCD_3N
104662a1,633,Zha16_no_2_tors,104662,NEW_GCD_3N
104678a1,561,Zha16_no_2_tors,104678,NEW_GCD_3N
104678a1,681,Zha16_no_2_tors,104678,NEW_GCD_3N
104678a1,753,Zha16_no_2_tors,104678,NEW_GCD_3N
104678a1,921,Zha16_no_2_tors,104678,NEW_GCD_3N
104894a1,417,Zha16_no_2_tors,104894,NEW_GCD_3N
104894a1,465,Zha16_no_2_tors,104894,NEW_GCD_3N
104894a1,777,Zha16_no_2_tors,104894,NEW_GCD_3N
104915a1,141,Zha16_no_2_tors,104915,NEW_GCD_3N
104915a1,489,Zha16_no_2_tors,104915,NEW_GCD_3N
104915a1,561,Zha16_no_2_tors,104915,NEW_GCD_3N
104915a1,789,Zha16_no_2_tors,104915,NEW_GCD_3N
105119a1,177,Zha16_no_2_tors,105119,NEW_GCD_3N
105119a1,393,Zha16_no_2_tors,105119,NEW_GCD_3N
105119a1,645,Zha16_no_2_tors,105119,NEW_GCD_3N
105119a1,681,Zha16_no_2_tors,105119,NEW_GCD_3N
105119a1,849,Zha16_no_2_tors,105119,NEW_GCD_3N
